"order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,FUR-BO-10001798,261,2,0,41
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,OFF-LA-10000240,14,2,0,6
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,FUR-TA-10000577,957,5,0,-383
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,FUR-FU-10001487,48,7,0,14
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,OFF-PA-10002365,15,3,0,5
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,OFF-BI-10003656,407,3,0,132
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,OFF-AP-10002311,68,5,0,-123
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,OFF-ST-10004186,665,6,0,13
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,OFF-ST-10000107,55,2,0,9
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,OFF-AR-10003056,8,2,0,2
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,OFF-AR-10000246,19,7,0,5
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,FUR-CH-10002774,71,2,0,-1
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044,3,0,240
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,OFF-BI-10001634,11,2,0,4
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083,7,0,-1665
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29,3,0,9
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097,7,0,123
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113,9,0,35
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,147,4,0,16
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,77,2,0,3
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,95,2,0,9
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,45,2,0,19
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,211,4,0,8
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,45,3,0,4
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,38,6,0,17
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,15,7,0,6
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,OFF-ST-10000604,208,6,0,52
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,13,2,0,6
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,213,5,0,-15
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113,8,0,111
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,75,2,0,35
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,4,1,0,1
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,19,3,0,8
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,831,8,0,-114
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,1,3,0,-1
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,19,5,0,-14
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,208,1,0,56
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,14,5,0,4
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,200,7,0,62
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,230,3,0,-48
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,301,2,0,33
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,19,1,0,6
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,158,7,0,13
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,OFF-AR-10004930,20,3,0,6
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-PA-10003177,12,2,0,6
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,5,1,0,-3
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,96,7,0,40
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,51,3,0,17
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,77,6,0,22
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,64,7,0,22
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,OFF-PA-10004040,23,4,0,11
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,TEC-AC-10001552,238,6,0,-26
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,TEC-AC-10003499,74,8,0,17
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,TEC-AC-10000844,339,5,0,67
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,FUR-FU-10001934,41,2,0,10
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,CL-12565,OFF-AR-10000380,75,2,0,22
CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,OFF-FA-10000621,40,14,0,14
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,DK-13090,FUR-TA-10001768,787,3,0,165
US-2015-136476,2015-04-05,2015-04-10,Standard Class,GG-14650,OFF-BI-10003650,157,1,0,-115
CA-2016-103730,2016-06-12,2016-06-15,First Class,SC-20725,FUR-FU-10002157,47,3,0,18
US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,FUR-CH-10004063,600,3,0,-8
US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,FUR-TA-10004534,617,6,0,-407
US-2017-107272,2017-11-05,2017-11-12,Standard Class,TS-21610,OFF-BI-10003274,2,2,0,-1
US-2016-125969,2016-11-06,2016-11-10,Second Class,LS-16975,FUR-CH-10001146,81,2,0,-9
US-2017-164147,2017-02-02,2017-02-05,First Class,DW-13585,TEC-PH-10002293,59,5,0,-11
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,OFF-PA-10001804,20,3,0,9
CA-2016-110366,2016-09-05,2016-09-07,Second Class,JD-15895,FUR-FU-10004848,82,2,0,10
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,OFF-AR-10000940,8,3,0,2
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,SG-20080,OFF-AP-10001058,839,3,0,218
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,HA-14920,OFF-ST-10003656,671,7,0,20
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,FUR-FU-10000521,93,4,0,12
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,JE-16165,TEC-PH-10000215,384,11,0,103
CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,OFF-AP-10000326,157,5,0,17
CA-2015-124919,2015-05-31,2015-06-02,First Class,SP-20650,OFF-PA-10001950,58,7,0,26
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,NK-18490,OFF-AR-10001547,6,3,0,1
CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,FUR-CH-10004063,457,2,0,51
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,OFF-LA-10002475,14,2,0,6
CA-2016-162733,2016-05-11,2016-05-12,First Class,TT-21070,OFF-PA-10002751,5,1,0,2
CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,TEC-AC-10003657,54,2,0,1
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,OFF-EN-10001990,28,5,0,13
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,MJ-17740,OFF-BI-10004002,27,2,0,9
